Home Team,Away Team,Reason,Score,URL,UTC Time
"{'name': 'Arsenal', 'shortName': 'Arsenal', 'id': '9825'}","{'name': 'West Bromwich Albion', 'shortName': 'West Brom', 'id': '8659'}",FT,2 - 3,/match/839864/matchfacts/arsenal-vs-west-bromwich-albion,2010-09-25T12:00:00.000Z
"{'name': 'Birmingham City', 'shortName': 'Birmingham', 'id': '8658'}","{'name': 'Wigan Athletic', 'shortName': 'Wigan', 'id': '8528'}",FT,0 - 0,/match/839871/matchfacts/birmingham-city-vs-wigan-athletic,2010-09-25T12:00:00.000Z
"{'name': 'Blackpool', 'shortName': 'Blackpool', 'id': '8483'}","{'name': 'Blackburn Rovers', 'shortName': 'Blackburn', 'id': '8655'}",FT,1 - 2,/match/839873/matchfacts/blackpool-vs-blackburn-rovers,2010-09-25T12:00:00.000Z
"{'name': 'Fulham', 'shortName': 'Fulham', 'id': '9879'}","{'name': 'Everton', 'shortName': 'Everton', 'id': '8668'}",FT,0 - 0,/match/839870/matchfacts/fulham-vs-everton,2010-09-25T12:00:00.000Z
"{'name': 'Liverpool', 'shortName': 'Liverpool', 'id': '8650'}","{'name': 'Sunderland', 'shortName': 'Sunderland', 'id': '8472'}",FT,2 - 2,/match/839865/matchfacts/liverpool-vs-sunderland,2010-09-25T12:00:00.000Z
"{'name': 'West Ham United', 'shortName': 'West Ham', 'id': '8654'}","{'name': 'Tottenham Hotspur', 'shortName': 'Tottenham', 'id': '8586'}",FT,1 - 0,/match/839866/matchfacts/west-ham-united-vs-tottenham-hotspur,2010-09-25T12:00:00.000Z
"{'name': 'Bolton Wanderers', 'shortName': 'Bolton', 'id': '8559'}","{'name': 'Manchester United', 'shortName': 'Man United', 'id': '10260'}",FT,2 - 2,/match/839872/matchfacts/bolton-wanderers-vs-manchester-united,2010-09-26T09:00:00.000Z
"{'name': 'Wolverhampton Wanderers', 'shortName': 'Wolves', 'id': '8602'}","{'name': 'Aston Villa', 'shortName': 'Aston Villa', 'id': '10252'}",FT,1 - 2,/match/839869/matchfacts/wolverhampton-wanderers-vs-aston-villa,2010-09-26T11:05:00.000Z
"{'name': 'Newcastle United', 'shortName': 'Newcastle', 'id': '10261'}","{'name': 'Stoke City', 'shortName': 'Stoke', 'id': '10194'}",FT,1 - 2,/match/839867/matchfacts/newcastle-united-vs-stoke-city,2010-09-26T13:10:00.000Z
"{'name': 'Wigan Athletic', 'shortName': 'Wigan', 'id': '8528'}","{'name': 'Wolverhampton Wanderers', 'shortName': 'Wolves', 'id': '8602'}",FT,2 - 0,/match/839882/matchfacts/wigan-athletic-vs-wolverhampton-wanderers,2010-10-02T09:45:00.000Z
"{'name': 'Birmingham City', 'shortName': 'Birmingham', 'id': '8658'}","{'name': 'Everton', 'shortName': 'Everton', 'id': '8668'}",FT,0 - 2,/match/839879/matchfacts/birmingham-city-vs-everton,2010-10-02T12:00:00.000Z
"{'name': 'Stoke City', 'shortName': 'Stoke', 'id': '10194'}","{'name': 'Blackburn Rovers', 'shortName': 'Blackburn', 'id': '8655'}",FT,1 - 0,/match/839881/matchfacts/stoke-city-vs-blackburn-rovers,2010-10-02T12:00:00.000Z
"{'name': 'Tottenham Hotspur', 'shortName': 'Tottenham', 'id': '8586'}","{'name': 'Aston Villa', 'shortName': 'Aston Villa', 'id': '10252'}",FT,2 - 1,/match/839876/matchfacts/tottenham-hotspur-vs-aston-villa,2010-10-02T12:00:00.000Z
"{'name': 'West Bromwich Albion', 'shortName': 'West Brom', 'id': '8659'}","{'name': 'Bolton Wanderers', 'shortName': 'Bolton', 'id': '8559'}",FT,1 - 1,/match/839880/matchfacts/west-bromwich-albion-vs-bolton-wanderers,2010-10-02T12:00:00.000Z
