,0
1368,840201
1369,West Bromwich Albion
1370,West Brom
1371,8659
1372,840203
1373,Wigan Athletic
1374,Wigan
1375,8528
1376,840204
1377,Chelsea
1378,Chelsea
1379,8455
1380,840200
1381,Birmingham City
1382,Birmingham
1383,8658
1384,840196
1385,Liverpool
1386,Liverpool
1387,8650
1388,840195
1389,Arsenal
1390,Arsenal
1391,9825
1392,840198
1393,Manchester City
1394,Man City
1395,8456
1396,840208
1397,Aston Villa
1398,Aston Villa
1399,10252
1400,840213
1401,Bolton Wanderers
1402,Bolton
1403,8559
1404,840209
1405,Everton
1406,Everton
1407,8668
1408,840210
1409,Newcastle United
1410,Newcastle
1411,10261
1412,840207
1413,West Ham United
1414,West Ham
1415,8654
1416,840206
1417,Tottenham Hotspur
1418,Tottenham
1419,8586
1420,840211
1421,Wolverhampton Wanderers
1422,Wolves
1423,8602
1424,840214
1425,Stoke City
1426,Stoke
1427,10194
1428,840205
1429,Manchester United
1430,Man United
1431,10260
1432,840212
1433,Fulham
1434,Fulham
1435,9879
1436,840179
1437,Manchester City
1438,Man City
1439,8456
1440,840219
1441,Blackburn Rovers
1442,Blackburn
1443,8655
1444,840222
1445,Blackpool
1446,Blackpool
1447,8483
1448,840217
1449,Sunderland
1450,Sunderland
1451,8472
1452,840221
1453,West Bromwich Albion
1454,West Brom
1455,8659
1456,840224
1457,Chelsea
1458,Chelsea
1459,8455
1460,840215
1461,Arsenal
1462,Arsenal
1463,9825
1464,840220
1465,Birmingham City
1466,Birmingham
1467,8658
1468,840216
1469,Liverpool
1470,Liverpool
1471,8650
1472,840223
1473,Wigan Athletic
1474,Wigan
1475,8528
1476,840218
1477,Manchester City
1478,Man City
1479,8456
1480,840228
1481,Aston Villa
1482,Aston Villa
1483,10252
1484,840233
1485,Bolton Wanderers
1486,Bolton
1487,8559
1488,840229
1489,Everton
1490,Everton
1491,8668
1492,840232
1493,Fulham
1494,Fulham
1495,9879
1496,840225
1497,Manchester United
1498,Man United
1499,10260
1500,840230
1501,Newcastle United
1502,Newcastle
1503,10261
1504,840234
1505,Stoke City
1506,Stoke
1507,10194
1508,840226
1509,Tottenham Hotspur
1510,Tottenham
1511,8586
1512,840227
1513,West Ham United
1514,West Ham
1515,8654
1516,840231
1517,Wolverhampton Wanderers
1518,Wolves
1519,8602
1520,839804
1521,Tottenham Hotspur
1522,Tottenham
1523,8586
1524,839796
1525,Aston Villa
1526,Aston Villa
1527,10252
1528,839797
1529,Blackburn Rovers
